BatchFile test, number of cities :=14
ACS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = None
AntDir = Bidirectional
6.779 3345.903 0.1 0.1 2.2E-5 10 0.7 0.9 3323 99 3336 787 3371 63 130.24035885772
6.665 3344.651 0.1 0.1 2.2E-5 10 0.75 0.9 3323 122 3336 758 3371 69 130.465329897685
6.869 3343.803 0.1 0.1 2.2E-5 10 0.8 0.9 3323 135 3336 752 3371 65 131.059052642381
7.514 3340.842 0.1 0.1 2.2E-5 10 0.85 0.9 3323 165 3336 743 3371 57 132.142227848751
8.422 3338.919 0.1 0.1 2.2E-5 10 0.9 0.9 3323 189 3336 726 3371 64 133.414775270373
11.006 3335.178 0.1 0.1 2.2E-5 10 0.95 0.9 3323 294 3336 647 3371 49 136.844587592096

AntDir = Unidirectional
6.284 3345.196 0.1 0.1 2.2E-5 10 0 0.9 3323 67 3336 839 3371 36 128.751929261958
6.044 3345.463 0.1 0.1 2.2E-5 10 0.05 0.9 3323 65 3336 840 3371 34 128.625824355853
6.279 3347.582 0.1 0.1 2.2E-5 10 0.1 0.9 3323 68 3336 784 3371 91 128.42331035969
6.228 3347.672 0.1 0.1 2.2E-5 10 0.15 0.9 3323 69 3336 780 3371 86 128.579917038002
6.327 3343.781 0.1 0.1 2.2E-5 10 0.2 0.9 3323 78 3336 809 3371 69 128.090499057068
6.557 3346.871 0.1 0.1 2.2E-5 10 0.25 0.9 3323 78 3336 796 3371 60 128.771247705055
6.394 3346.89 0.1 0.1 2.2E-5 10 0.3 0.9 3323 97 3336 756 3371 86 128.676410880155
6.763 3345.943 0.1 0.1 2.2E-5 10 0.35 0.9 3323 84 3336 790 3371 68 128.640624374838
6.518 3346.356 0.1 0.1 2.2E-5 10 0.4 0.9 3323 98 3336 754 3371 87 128.907073982168
6.922 3345.371 0.1 0.1 2.2E-5 10 0.45 0.9 3323 105 3336 762 3371 83 128.68625065594
6.877 3344.33 0.1 0.1 2.2E-5 10 0.5 0.9 3323 110 3336 763 3371 77 129.461692771388
7.542 3347.386 0.1 0.1 2.2E-5 10 0.55 0.9 3323 87 3336 755 3371 96 129.451576147455
7.304 3345.621 0.1 0.1 2.2E-5 10 0.6 0.9 3323 98 3336 751 3371 96 130.505526437041
7.626 3344.022 0.1 0.1 2.2E-5 10 0.65 0.9 3323 150 3336 702 3371 105 132.299781315051
7.839 3343.462 0.1 0.1 2.2E-5 10 0.7 0.9 3323 120 3336 744 3371 94 132.422684041959
8.461 3341.747 0.1 0.1 2.2E-5 10 0.75 0.9 3323 156 3336 723 3371 88 134.093756821451
9.528 3339.915 0.1 0.1 2.2E-5 10 0.8 0.9 3323 220 3336 658 3371 95 137.309069965916
12.234 3337.224 0.1 0.1 2.2E-5 10 0.85 0.9 3323 305 3336 594 3371 85 141.045640203975
15.425 3333.296 0.1 0.1 2.2E-5 10 0.9 0.9 3323 414 3336 527 3371 52 147.459265855688
16.356 3329.445 0.1 0.1 2.2E-5 10 0.95 0.9 3323 544 3336 446 3371 8 154.805642254021


AntType = Sqrt
AntDir = Bidirectional
6.284 3345.196 0.1 0.1 2.2E-5 10 0 0.9 3323 67 3336 839 3371 36 128.751929261958
6.121 3345.234 0.1 0.1 2.2E-5 10 0.05 0.9 3323 60 3336 839 3371 48 128.52422238331
5.96 3347.501 0.1 0.1 2.2E-5 10 0.1 0.9 3323 51 3336 821 3371 61 128.486367700384
