BatchFile test, number of cities :=198
AMTS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Boolean
AntDir = Bidirectional
141.56 17811.55 0.1 0.5 0.1 25 0.95 6 17066 1 17088 1 17133 1 875.400382976519

AntDir = Unidirectional
134.02 17607.4 0.1 0.5 0.1 25 0 6 16984 1 17019 1 17132 1 930.414214277687
136.22 17606.4 0.1 0.5 0.1 25 0.05 6 16935 1 17069 1 17123 1 932.685267410388
130.42 17638.13 0.1 0.5 0.1 25 0.1 6 16762 1 16829 1 16955 1 928.905840334982
132.23 17661.69 0.1 0.5 0.1 25 0.15 6 16730 1 16927 1 17123 1 924.973830794578
135.45 17641.56 0.1 0.5 0.1 25 0.2 6 16929 1 17070 1 17138 1 925.626811198778
134.74 17639.46 0.1 0.5 0.1 25 0.25 6 16798 1 17017 1 17122 2 922.826972155042
142.62 17628.71 0.1 0.5 0.1 25 0.3 6 16763 1 16910 1 16950 1 912.5602986581
138.44 17674.59 0.1 0.5 0.1 25 0.35 6 16719 1 16846 1 16915 1 917.292142804635
135.83 17628.27 0.1 0.5 0.1 25 0.4 6 16657 1 16883 1 16933 1 913.169229440487
132.48 17650.73 0.1 0.5 0.1 25 0.45 6 16959 1 16966 1 17019 1 913.072414236012
142.46 17647.29 0.1 0.5 0.1 25 0.5 6 16835 1 17010 1 17017 1 906.066019932607
141.52 17630.96 0.1 0.5 0.1 25 0.55 6 16809 1 16944 1 16978 1 907.124738283889
143.04 17662.7 0.1 0.5 0.1 25 0.6 6 17182 1 17206 1 17232 1 902.859468861287
140.45 17660.12 0.1 0.5 0.1 25 0.65 6 16889 1 16958 1 17106 1 901.267287783975
155.81 17662.23 0.1 0.5 0.1 25 0.7 6 16682 1 17034 1 17094 1 897.136591071639
151.55 17643.32 0.1 0.5 0.1 25 0.75 6 16765 1 16893 1 16999 1 891.671753506279
149.55 17688.55 0.1 0.5 0.1 25 0.8 6 16776 1 16931 1 17001 1 889.452775842502
155.12 17716.66 0.1 0.5 0.1 25 0.85 6 16929 1 17137 1 17219 1 881.792586662929
143.77 17795.61 0.1 0.5 0.1 25 0.9 6 16932 1 17171 2 17194 1 883.955657018724
154.99 17780.9 0.1 0.5 0.1 25 0.95 6 17040 1 17073 1 17147 1 870.993188781


AntType = 1 on Sqrt X
AntDir = Bidirectional
134.76 17616.25 0.1 0.5 0.1 25 0 6 16731 1 16834 1 16854 1 928.617103642799
142.84 17616.59 0.1 0.5 0.1 25 0.05 6 16739 1 16785 1 16944 1 917.072572988557
134.26 17659.38 0.1 0.5 0.1 25 0.1 6 17020 1 17065 1 17073 1 916.614439879332
136.62 17613.6 0.1 0.5 0.1 25 0.15 6 16563 1 16711 1 16882 1 910.160830844937
137.99 17634.53 0.1 0.5 0.1 25 0.2 6 16775 1 17014 1 17026 1 907.411660576957
143.02 17559.83 0.1 0.5 0.1 25 0.25 6 16763 1 16795 1 16855 1 902.783218818574
129.59 17637.22 0.1 0.5 0.1 25 0.3 6 16849 1 16920 1 16954 1 905.569914703657
139.61 17666.09 0.1 0.5 0.1 25 0.35 6 17010 1 17142 1 17167 1 896.857696826979
133.65 17667.43 0.1 0.5 0.1 25 0.4 6 16923 1 17095 1 17137 2 895.94800771877
146.25 17687.58 0.1 0.5 0.1 25 0.45 6 17021 1 17026 1 17067 1 890.708677991208
144.07 17673.26 0.1 0.5 0.1 25 0.5 6 16692 1 17013 1 17019 1 886.05067885541
145.83 17672.23 0.1 0.5 0.1 25 0.55 6 16820 1 16851 1 17126 1 885.359787419337
146.4 17673.85 0.1 0.5 0.1 25 0.6 6 17102 1 17121 1 17144 1 878.839657742465
147.61 17662.07 0.1 0.5 0.1 25 0.65 6 16622 1 16861 1 17011 1 878.694840966412
146.5 17711.32 0.1 0.5 0.1 25 0.7 6 16993 1 17016 1 17046 1 878.874793535301
146.32 17706.91 0.1 0.5 0.1 25 0.75 6 17052 1 17083 1 17152 1 880.508870613446
137.76 17778.79 0.1 0.5 0.1 25 0.8 6 16954 1 17158 1 17242 1 880.318959748261
147.64 17707.56 0.1 0.5 0.1 25 0.85 6 16880 1 16934 1 16985 1 878.099550593172
149.83 17694.56 0.1 0.5 0.1 25 0.9 6 16855 1 16914 1 16942 1 871.474309577338
146.66 17716.94 0.1 0.5 0.1 25 0.95 6 16409 1 17061 1 17136 1 873.75024149761

AntDir = Unidirectional
135.64 17646.13 0.1 0.5 0.1 25 0 6 16667 1 16681 1 16872 1 931.008945103295
134.97 17651.03 0.1 0.5 0.1 25 0.05 6 16902 1 16954 1 17076 1 923.633396837031
146.47 17623.58 0.1 0.5 0.1 25 0.1 6 16726 1 16930 1 17117 1 922.296886683359
148.98 17611.36 0.1 0.5 0.1 25 0.15 6 16762 1 16783 1 17079 1 908.396937314615
139.47 17633.83 0.1 0.5 0.1 25 0.2 6 17053 1 17096 1 17158 1 905.555515973655
141.27 17626.89 0.1 0.5 0.1 25 0.25 6 16817 1 16821 1 16842 1 913.357124671051
135.69 17656.95 0.1 0.5 0.1 25 0.3 6 16925 1 16955 1 17129 1 902.606167631898
137.79 17689.79 0.1 0.5 0.1 25 0.35 6 17086 1 17100 1 17130 1 899.714328175569
151.5 17608.28 0.1 0.5 0.1 25 0.4 6 16904 1 17051 1 17055 1 892.577298250755
151.32 17619.28 0.1 0.5 0.1 25 0.45 6 16862 1 16951 1 17141 1 888.556173317573
141.72 17689.02 0.1 0.5 0.1 25 0.5 6 17126 1 17138 1 17157 1 895.627271891966
150.47 17671.73 0.1 0.5 0.1 25 0.55 6 16780 1 17083 1 17097 1 889.236414630828
149 17633.84 0.1 0.5 0.1 25 0.6 6 16936 1 17026 1 17071 1 882.611349997765
154.37 17657.47 0.1 0.5 0.1 25 0.65 6 17081 1 17127 1 17132 1 882.289081123511
157.78 17604.98 0.1 0.5 0.1 25 0.7 6 17077 1 17135 1 17184 1 876.859314182211
156.51 17646.21 0.1 0.5 0.1 25 0.75 6 16977 1 17016 1 17024 1 872.601966585345
157.49 17616.84 0.1 0.5 0.1 25 0.8 6 16622 1 17018 1 17019 1 873.040762631515
150.42 17648.13 0.1 0.5 0.1 25 0.85 6 17056 1 17115 1 17124 1 873.21790676437
151.8 17
