BatchFile test, number of cities :=14
AS Algorithm - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = None
AntDir = Bidirectional
54.41 3358.61 0.1 0.5 0.1 10 0.1 3323 16 3336 20 3346 10 116.495970617209
52.93 3363.43 0.1 0.5 0.1 10 0.15 3323 2 3336 31 3346 3 116.709640029376
54.83 3360.98 0.1 0.5 0.1 10 0.2 3323 11 3336 25 3346 3 116.8719142586
55.09 3362.72 0.1 0.5 0.1 10 0.25 3323 9 3336 27 3346 3 114.455066752806
56.76 3359.93 0.1 0.5 0.1 10 0.3 3323 12 3336 24 3346 4 115.866390699234
56.44 3357.78 0.1 0.5 0.1 10 0.35 3323 13 3336 30 3346 4 114.86090011341
53.37 3361.33 0.1 0.5 0.1 10 0.4 3323 5 3336 31 3346 4 115.338963810915
58.24 3359.31 0.1 0.5 0.1 10 0.45 3323 10 3336 32 3346 2 114.941834151285
55.05 3357.36 0.1 0.5 0.1 10 0.5 3323 8 3336 32 3346 8 114.38533703208
58.1 3364.98 0.1 0.5 0.1 10 0.55 3323 11 3336 19 3346 3 113.866815125536
59.53 3359.1 0.1 0.5 0.1 10 0.6 3323 5 3336 35 3346 5 114.412294699943
60.83 3360.31 0.1 0.5 0.1 10 0.65 3323 12 3336 26 3346 1 114.47965787516
58.95 3361.68 0.1 0.5 0.1 10 0.7 3323 11 3336 25 3346 4 112.799892253164
63.49 3363.27 0.1 0.5 0.1 10 0.75 3323 10 3336 24 3346 7 112.627230215545
63.97 3359.98 0.1 0.5 0.1 10 0.8 3323 9 3336 26 3346 3 112.305804165516
66.29 3363.28 0.1 0.5 0.1 10 0.85 3323 12 3336 15 3346 9 111.270132097708
69.62 3368.8 0.1 0.5 0.1 10 0.9 3323 10 3336 14 3346 3 110.771817824518
73.36 3370.12 0.1 0.5 0.1 10 0.95 3323 10 3336 13 3346 5 109.010761320918


AntType = Linear
AntDir = Bidirectional
52.59 3365.73 0.1 0.5 0.1 10 0 3323 7 3336 20 3346 3 116.506853240355
55.05 3355.8 0.1 0.5 0.1 10 0.05 3323 13 3336 28 3346 7 116.698856298889
52.41 3363.6 0.1 0.5 0.1 10 0.1 3323 9 3336 25 3346 5 116.043385486574
50.29 3359.1 0.1 0.5 0.1 10 0.15 3323 6 3336 34 3346 8 115.764719829332
52.82 3360.17 0.1 0.5 0.1 10 0.2 3323 15 3336 18 3346 6 116.802800266818
49.1 3363.8 0.1 0.5 0.1 10 0.25 3323 8 3336 26 3346 4 116.194635075371
53.22 3362.97 0.1 0.5 0.1 10 0.3 3323 11 3336 23 3346 1 116.396252930699
53.91 3359.31 0.1 0.5 0.1 10 0.35 3323 14 3336 24 3346 5 115.880396795459
55.23 3359.54 0.1 0.5 0.1 10 0.4 3323 15 3336 27 3346 3 115.778267338086
52.35 3358.14 0.1 0.5 0.1 10 0.45 3323 9 3336 28 3346 9 115.559160572506
56.77 3355.29 0.1 0.5 0.1 10 0.5 3323 13 3336 33 3346 8 115.900882694367
56.45 3362.58 0.1 0.5 0.1 10 0.55 3323 12 3336 27 3346 3 116.109384148365
53.55 3362.86 0.1 0.5 0.1 10 0.6 3323 6 3336 29 3346 3 116.584517072833
54.06 3363.6 0.1 0.5 0.1 10 0.65 3323 8 3336 27 3346 3 115.373860268798
56.38 3360.76 0.1 0.5 0.1 10 0.7 3323 11 3336 24 3346 4 116.469705895731
54.17 3361.74 0.1 0.5 0.1 10 0.75 3323 9 3336 26 3346 4 115.775540594197
50.57 3362.25 0.1 0.5 0.1 10 0.8 3323 13 3336 21 3346 5 114.960933101791
54.36 3362.47 0.1 0.5 0.1 10 0.85 3323 12 3336 26 3346 6 116.205088123852
55.1 3364.26 0.1 0.5 0.1 10 0.9 3323 7 3336 27 3346 5 116.331271087883
54.24 3356.25 0.1 0.5 0.1 10 0.95 3323 15 3336 26 3346 6 115.783961703234

AntDir = Unidirectional
51.11 3363.46 0.1 0.5 0.1 10 0 3323 6 3336 23 3346 8 115.583921698878
54.48 3360.84 0.1 0.5 0.1 10 0.05 3323 8 3336 28 3346 5 117.385415830185
54.78 3359.51 0.1 0.5 0.1 10 0.1 3323 13 3336 22 3346 9 116.775772701572
54.64 3361.48 0.1 0.5 0.1 10 0.15 3323 12 3336 24 3346 4 116.431047408786
55.67 3359.67 0.1 0.5 0.1 10 0.2 3323 11 3336 24 3346 6 115.86669784873
53.64 3364.2 0.1 0.5 0.1 10 0.25 3323 9 3336 21 3346 7 116.271705267865
55.43 3359.99 0.1 0.5 0.1 10 0.3 3323 14 3336 23 3346 5 115.545981342967
51.62 3364.36 0.1 0.5 0.1 10 0.35 3323 3 3336 30 3346 2 116.138036054991
56.59 3358.18 0.1 0.5 0.1 10 0.4 3323 11 3336 30 3346 6 116.6096287537
54.11 3364.49 0.1 0.5 0.1 10 0.45 3323 11 3336 21 3346 2 115.187496383969
54.96 3363.74 0.1 0.5 0.1 10 0.5 3323 7 3336 29 3346 2 115.509835077797
55.33 3362.07 0.1 0.5 0.1 10 0.55 3323 8 3336 24 3346 5 115.568820868777
54.33 3360.35 0.1 0.5 0.1 10 0.6 3323 7 3336 28 3346 6 115.233457844492
54.73 3359.44 0.1 0.5 0.1 10 0.65 3323 11 3336 24 3346 7 115.082749440991
57.13 3362.77 0.1 0.5 0.1 10 0.7 3323 13 3336 16 3346 10 115.170320839833
55.06 3361.6 0.1 0.5 0.1 10 0.75 3323 3 3336 31 3346 7 115.415294688861
56.48 3361.61 0.1 0.5 0.1 10 0.8 3323 12 3336 28 3346 2 114.676629736576
55.37 3362.22 0.1 0.5 0.1 10 0.85 3323 9 3336 24 3346 4 114.946417121496
56.93 3366.81 0.1 0.5 0.1 10 0.9 3323 7 3336 24 3346 3 114.437284558803
57.31 3367.14 0.1 0.5 0.1 10 0.95 3323 11 3336 17 3346 4 114.432983247766


