BatchFile test, number of cities :=14
ACS Algorithm format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Boolean
AntDir = Bidirectional
16.13 3357.729 0.1 0.1 2.2E-5 10 0.7 0.9 3323 147 3336 496 3346 19 147.55461094261
16.012 3357.374 0.1 0.1 2.2E-5 10 0.75 0.9 3323 140 3336 506 3346 19 147.383663232663
16.819 3355.122 0.1 0.1 2.2E-5 10 0.8 0.9 3323 187 3336 481 3346 18 147.763748244387
16.616 3357.944 0.1 0.1 2.2E-5 10 0.85 0.9 3323 177 3336 468 3346 13 148.391534071059
17.22 3357.944 0.1 0.1 2.2E-5 10 0.9 0.9 3323 185 3336 492 3346 7 148.239308678823
17.804 3349.411 0.1 0.1 2.2E-5 10 0.95 0.9 3323 208 3336 523 3346 12 149.06935193973

AntDir = Unidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
16.817 3359.324 0.1 0.1 2.2E-5 10 0.05 0.9 3323 152 3336 497 3346 10 146.952559534217
17.488 3357.127 0.1 0.1 2.2E-5 10 0.1 0.9 3323 138 3336 518 3346 21 146.704640284993
16.681 3362.217 0.1 0.1 2.2E-5 10 0.15 0.9 3323 126 3336 495 3346 20 146.431465225186
16.881 3356.791 0.1 0.1 2.2E-5 10 0.2 0.9 3323 157 3336 476 3346 19 147.41749765341
17.307 3359.38 0.1 0.1 2.2E-5 10 0.25 0.9 3323 137 3336 491 3346 20 146.722107913139
16.336 3357.678 0.1 0.1 2.2E-5 10 0.3 0.9 3323 137 3336 534 3346 19 146.387837555666
16.924 3358.048 0.1 0.1 2.2E-5 10 0.35 0.9 3323 144 3336 506 3346 15 146.543968385369
16.771 3356.69 0.1 0.1 2.2E-5 10 0.4 0.9 3323 135 3336 508 3346 18 146.514620240212
17.044 3353.794 0.1 0.1 2.2E-5 10 0.45 0.9 3323 142 3336 530 3346 10 147.075494665978
16.779 3354.094 0.1 0.1 2.2E-5 10 0.5 0.9 3323 147 3336 535 3346 12 146.974365483996
17.54 3354.318 0.1 0.1 2.2E-5 10 0.55 0.9 3323 157 3336 500 3346 8 147.750502223114
17.243 3351.633 0.1 0.1 2.2E-5 10 0.6 0.9 3323 159 3336 500 3346 8 147.558898435392
17.205 3352.302 0.1 0.1 2.2E-5 10 0.65 0.9 3323 157 3336 512 3346 14 148.491483532939
17.307 3350.094 0.1 0.1 2.2E-5 10 0.7 0.9 3323 178 3336 508 3346 5 149.268031222835
18.171 3350.285 0.1 0.1 2.2E-5 10 0.75 0.9 3323 188 3336 507 3346 7 150.709363251582
17.978 3347.964 0.1 0.1 2.2E-5 10 0.8 0.9 3323 195 3336 503 3346 4 150.78183791215
19.227 3349.822 0.1 0.1 2.2E-5 10 0.85 0.9 3323 208 3336 462 3346 3 153.08787346839
20.57 3345.738 0.1 0.1 2.2E-5 10 0.9 0.9 3323 242 3336 487 3346 7 154.653241418412
23.057 3336.936 0.1 0.1 2.2E-5 10 0.95 0.9 3323 419 3336 470 3346 5 158.529228223087


AntType = Square
AntDir = Bidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
17.306 3358.781 0.1 0.1 2.2E-5 10 0.05 0.9 3323 150 3336 515 3346 11 147.18705736151
17.125 3361.119 0.1 0.1 2.2E-5 10 0.1 0.9 3323 131 3336 512 3346 17 147.210951375526
16.814 3356.033 0.1 0.1 2.2E-5 10 0.15 0.9 3323 153 3336 507 3346 16 146.640762155761
16.208 3361.851 0.1 0.1 2.2E-5 10 0.2 0.9 3323 141 3336 502 3346 11 146.915896573889
16.665 3361.83 0.1 0.1 2.2E-5 10 0.25 0.9 3323 151 3336 488 3346 16 146.828610535469
16.624 3356.207 0.1 0.1 2.2E-5 10 0.3 0.9 3323 153 3336 487 3346 15 147.102592961653
16.908 3357.18 0.1 0.1 2.2E-5 10 0.35 0.9 3323 145 3336 500 3346 18 147.012983232751
16.672 3361.463 0.1 0.1 2.2E-5 10 0.4 0.9 3323 135 3336 481 3346 17 146.635462672144
16.538 3360.846 0.1 0.1 2.2E-5 10 0.45 0.9 3323 143 3336 492 3346 12 147.370691314162
16.602 3357.588 0.1 0.1 2.2E-5 10 0.5 0.9 3323 129 3336 535 3346 11 146.477412924948
16.426 3358.597 0.1 0.1 2.2E-5 10 0.55 0.9 3323 151 3336 499 3346 16 147.507165606893
16.187 3357.401 0.1 0.1 2.2E-5 10 0.6 0.9 3323 153 3336 491 3346 26 147.262650744571
16.858 3357.38 0.1 0.1 2.2E-5 10 0.65 0.9 3323 165 3336 513 3346 20 147.045616047734
15.968 3359.854 0.1 0.1 2.2E-5 10 0.7 0.9 3323 141 3336 509 3346 28 147.947986863748
16.805 3356.962 0.1 0.1 2.2E-5 10 0.75 0.9 3323 154 3336 509 3346 23 147.622218735505
16.685 3356.525 0.1 0.1 2.2E-5 10 0.8 0.9 3323 176 3336 510 3346 15 148.04080326417
16.209 3356.939 0.1 0.1 2.2E-5 10 0.85 0.9 3323 181 3336 480 3346 16 148.509010860233
16.656 3354.624 0.1 0.1 2.2E-5 10 0.9 0.9 3323 198 3336 500 3346 18 148.526392484922
19.252 3350.347 0.1 0.1 2.2E-5 10 0.95 0.9 3323 252 3336 490 3346 14 149.664619151299

AntDir = Unidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
16.503 3360.791 0.1 0.1 2.2E-5 10 0.05 0.9 3323 139 3336 505 3346 18 147.165347176302
16.952 3356.652 0.1 0.1 2.2E-5 10 0.1 0.9 3323 126 3336 537 3346 27 146.495956205005
17.242 3359.897 0.1 0.1 2.2E-5 10 0.15 0.9 3323 139 3336 501 3346 9 146.786308823355
16.996 3360.37 0.1 0.1 2.2E-5 10 0.2 0.9 3323 152 3336 495 3346 12 147.159812633368
17.346 3361.362 0.1 0.1 2.2E-5 10 0.25 0.9 3323 139 3336 487 3346 10 146.865415752836
17.104 3358.809 0.1 0.1 2.2E-5 10 0.3 0.9 3323 147 3336 502 3346 14 147.278807121069
17.228 3357.433 0.1 0.1 2.2E-5 10 0.35 0.9 3323 135 3336 526 3346 16 147.145372675495
17.655 3355.703 0.1 0.1 2.2E-5 10 0.4 0.9 3323 171 3336 486 3346 12 147.001254734406
16.108 3355.158 0.1 0.1 2.2E-5 10 0.45 0.9 3323 141 3336 533 3346 14 147.762142347416
16.759 3354.752 0.1 0.1 2.2E-5 10 0.5 0.9 3323 140 3336 512 3346 19 147.448324126296
17.049 3353.664 0.1 0.1 2.2E-5 10 0.55 0.9 3323 149 3336 512 3346 19 148.043637032772
17.184 3352.77 0.1 0.1 2.2E-5 10 0.6 0.9 3323 176 3336 502 3346 14 148.176317867123
16.962 3352.622 0.1 0.1 2.2E-5 10 0.65 0.9 3323 183 3336 493 3346 6 149.125234192461
17.117 3352.492 0.1 0.1 2.2E-5 10 0.7 0.9 3323 161 3336 500 3346 12 149.219982384666
17.791 3353.717 0.1 0.1 2.2E-5 10 0.75 0.9 3323 194 3336 475 3346 15 151.144675751427
17.598 3351.776 0.1 0.1 2.2E-5 10 0.8 0.9 3323 203 3336 477 3346 9 150.651671759531
18.586 3349.583 0.1 0.1 2.2E-5 10 0.85 0.9 3323 216 3336 492 3346 5 152.913152879124
20.567 3346.595 0.1 0.1 2.2E-5 10 0.9 0.9 3323 247 3336 495 3346 11 154.260199440229
23.412 3339.438 0.1 0.1 2.2E-5 10 0.95 0.9 3323 448 3336 438 3346 6 158.253068333737


AntType = Sqrt
AntDir = Bidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
